N,kod,T,HV1,HV10
2376,98,-13.4,-95.9,-1011.5
2377,98,-13.4,-95.9,-1011.5
2378,98,-13.4,-95.9,-1011.5
2379,98,-13.4,-95.9,-1011.5
2380,98,-13.4,-95.9,-1011.5
2381,98,-13.4,-95.9,-1011.5
2382,98,-13.4,-95.9,-1011.5
2383,98,-13.4,-95.9,-1011.5
2384,98,-13.4,-95.9,-1011.5
2385,98,-13.4,-95.9,-1011.5
2386,98,-13.4,-95.9,-1011.5
2387,98,-13.4,-95.9,-1011.5
2388,98,-13.4,-95.9,-1011.5
2389,98,-13.4,-95.9,-1011.5
2390,98,-13.4,-95.9,-1011.5
2391,98,-13.4,-95.9,-1011.5
2392,98,-13.4,-95.9,-1011.5
2393,98,-13.4,-95.7,-1010.2
2394,98,-13.4,-95.7,-1010.2
2395,98,-13.4,-95.7,-1010.2
2396,98,-13.4,-95.7,-1010.2
2397,98,-13.4,-95.7,-1010.2
2398,98,-13.4,-95.7,-1010.2
2399,98,-13.4,-95.7,-1010.2
2400,98,-13.4,-95.7,-1010.2
2401,98,-13.4,-95.7,-1010.2
2402,98,-13.4,-95.7,-1010.2
2403,98,-13.4,-95.7,-1010.2
2404,98,-13.4,-95.7,-1010.2
2405,98,-13.4,-95.7,-1010.2
2406,98,-13.4,-95.7,-1010.2
2407,98,-13.4,-95.7,-1010.2
2408,98,-13.4,-95.7,-1010.2
2409,98,-13.4,-95.7,-1010.2
2410,98,-13.4,-95.7,-1010.2
2411,98,-13.4,-95.7,-1010.2
2412,98,-13.4,-95.7,-1010.2
2413,98,-13.4,-95.7,-1010.2
2414,98,-13.4,-95.7,-1010.2
2415,98,-13.4,-96.1,-1014.7
2416,98,-13.4,-96.1,-1014.7
2417,98,-13.4,-96.1,-1014.7
2418,98,-13.4,-96.1,-1014.7
