Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
11294 1 1 227 241 1 3
11295 1 1 200 238 1 3
11296 1 1 235 467 1 3
11297 1 1 237 238 1 3
11298 1 1 236 244 1 3
11299 1 1 200 238 1 3
11300 1 1 234 468 1 3
11301 1 1 235 235 1 3
11302 1 1 466 467 1 3
11303 1 1 238 238 1 3
11304 1 1 467 238 1 5
11305 1 1 239 239 1 3
11306 1 1 238 238 1 3
11307 1 1 238 239 1 3
11308 1 1 237 237 1 3
11309 1 1 238 239 1 3
11310 1 1 233 467 1 3
11311 1 1 238 239 1 3
11312 1 1 236 238 1 3
11313 1 1 237 238 1 3
11314 1 1 201 236 1 3
11315 1 1 201 239 1 3
11316 1 1 238 240 1 3
11317 1 1 238 238 1 3
11318 1 1 467 467 1 3
11319 1 1 238 238 1 3
11320 1 1 234 237 1 3
11321 1 1 238 238 1 3
11322 1 1 236 241 1 3
11323 1 1 238 239 1 3
11324 1 1 234 237 1 3
11325 1 1 238 238 1 3
11326 1 1 236 237 1 3
11327 1 1 238 238 1 3
11328 1 1 236 236 1 3
11329 1 1 238 239 1 3
11330 1 1 238 467 1 3
11331 1 1 238 239 1 3
11332 1 1 234 235 1 3
11333 1 1 237 238 1 3
11334 1 1 235 238 1 3
11335 1 1 235 235 1 3
11336 1 1 235 240 1 3
11337 1 1 238 238 1 3
11338 1 1 238 239 1 3
11339 1 1 238 238 1 3
11340 1 1 235 238 1 3
11341 1 1 238 239 1 3
11342 1 1 234 236 1 3
11343 1 1 238 238 1 3
11344 1 1 238 239 1 3
11345 1 1 238 239 1 3
11346 1 1 467 237 1 5
11347 1 1 237 238 1 3
11348 1 1 233 237 1 3
11349 1 1 238 239 1 3
11350 1 1 235 239 1 3
11351 1 1 238 239 1 3
11352 1 1 238 467 1 3
11353 1 1 237 238 1 3
11354 1 1 234 237 1 3
11355 1 1 239 239 1 3
11356 1 1 236 236 1 3
11357 1 1 238 239 1 3
11358 1 1 235 244 1 3
11359 1 1 197 235 1 3
11360 1 1 467 236 1 5
11361 1 1 238 239 1 3
11362 1 1 237 240 1 3
11363 1 1 201 239 1 3
11364 1 1 221 238 1 3
11365 1 1 197 235 1 3
11366 1 1 227 238 1 3
11367 1 1 200 238 1 3
11368 1 1 227 236 1 3
11369 1 1 200 238 1 3
11370 1 1 232 240 1 3
11371 1 1 234 235 1 3
11372 1 1 237 239 1 3
11373 1 1 234 235 1 3
11374 1 1 235 467 1 3
11375 1 1 238 239 1 3
11376 1 1 236 236 1 3
11377 1 1 238 239 1 3
11378 1 1 235 237 1 3
11379 1 1 235 235 1 3
11380 1 1 242 239 1 5
11381 1 1 238 239 1 3
11382 1 1 236 239 1 3
11383 1 1 239 239 1 3
11384 1 1 236 238 1 3
11385 1 1 238 239 1 3
11386 1 1 235 238 1 3
11387 1 1 235 235 1 3
11388 1 1 236 236 1 3
11389 1 1 238 238 1 3
11390 1 1 237 467 1 3
11391 1 1 238 238 1 3
11392 1 1 234 237 1 3
11393 1 1 238 238 1 3
11394 1 1 236 237 1 3
11395 1 1 239 239 1 3
11396 1 1 237 239 1 3
11397 1 1 238 239 1 3
11398 1 1 235 236 1 3
11399 1 1 239 239 1 3
11400 1 1 235 236 1 3
11401 1 1 235 235 1 3
11402 1 1 235 467 1 3
11403 1 1 238 239 1 3
11404 1 1 233 236 1 3
11405 1 1 238 239 1 3
11406 1 1 467 238 1 5
11407 1 1 238 239 1 3
11408 1 1 236 236 1 3
11409 1 1 238 238 1 3
11410 1 1 236 239 1 3
11411 1 1 238 239 1 3
11412 1 1 237 238 1 3
11413 1 1 238 238 1 3
11414 1 1 231 236 1 3
11415 1 1 238 239 1 3
11416 1 1 234 235 1 3
11417 1 1 238 239 1 3
11418 1 1 227 238 1 3
11419 1 1 200 238 1 3
11420 1 1 233 468 1 3
11421 1 1 238 239 1 3
11422 1 1 234 241 1 3
11423 1 1 238 238 1 3
11424 1 1 238 467 1 3
11425 1 1 238 239 1 3
11426 1 1 238 239 1 3
11427 1 1 238 238 1 3
11428 1 1 235 468 1 3
11429 1 1 235 235 1 3
11430 1 1 234 235 1 3
11431 1 1 238 238 1 3
11432 1 1 239 239 1 3
11433 1 1 238 238 1 3
11434 1 1 238 239 1 3
11435 1 1 238 239 1 3
11436 1 1 238 239 1 3
11437 1 1 238 239 1 3
11438 1 1 238 240 1 3
11439 1 1 238 238 1 3
11440 1 1 234 467 1 3
11441 1 1 237 238 1 3
11442 1 1 236 239 1 3
11443 1 1 237 238 1 3
11444 1 1 238 239 1 3
11445 1 1 238 239 1 3
11446 1 1 236 236 1 3
11447 1 1 238 239 1 3
11448 1 1 238 239 1 3
11449 1 1 237 238 1 3
11450 1 1 239 467 1 3
11451 1 1 238 239 1 3
11452 1 1 467 467 1 3
11453 1 1 238 238 1 3
11454 1 1 235 236 1 3
11455 1 1 238 239 1 3
11456 1 1 467 237 1 5
11457 1 1 237 238 1 3
11458 1 1 236 237 1 3
11459 1 1 238 239 1 3
11460 1 1 235 237 1 3
11461 1 1 238 238 1 3
11462 1 1 238 239 1 3
11463 1 1 238 238 1 3
11464 1 1 238 239 1 3
11465 1 1 234 235 1 3
11466 1 1 236 237 1 3
11467 1 1 238 238 1 3
11468 1 1 238 467 1 3
11469 1 1 237 238 1 3
11470 1 1 236 237 1 3
11471 1 1 235 235 1 3
11472 1 1 236 238 1 3
11473 1 1 237 238 1 3
11474 1 1 234 239 1 3
11475 1 1 238 239 1 3
11476 1 1 234 237 1 3
11477 1 1 238 239 1 3
11478 1 1 234 242 1 3
11479 1 1 235 235 1 3
11480 1 1 237 238 1 3
11481 1 1 238 239 1 3
11482 1 1 238 240 1 3
11483 1 1 238 238 1 3
11484 1 1 235 238 1 3
11485 1 1 238 239 1 3
11486 1 1 234 236 1 3
11487 1 1 237 238 1 3
11488 1 1 236 240 1 3
11489 1 1 238 239 1 3
11490 1 1 235 237 1 3
11491 1 1 196 235 1 3
11492 1 1 234 239 1 3
