Event Calibr
12719 1
12720 0
12721 1
12722 0
12723 1
12724 0
12725 1
12726 0
12727 1
12728 0
12729 1
12730 0
12731 1
12732 0
12733 1
12734 0
12735 1
12736 0
12737 1
12738 0
12739 1
12740 0
12741 1
12742 0
12743 1
12744 0
12745 1
12746 0
12747 1
12748 0
12749 1
12750 0
12751 1
12752 0
12753 1
12754 0
12755 1
12756 0
12757 1
12758 0
12759 1
12760 0
12761 1
12762 0
12763 1
12764 0
12765 1
12766 0
12767 1
12768 0
12769 1
12770 0
12771 1
12772 0
12773 1
12774 0
12775 1
12776 0
12777 1
12778 0
12779 1
12780 0
12781 1
12782 0
12783 1
12784 0
12785 1
12786 0
12787 1
12788 0
12789 1
12790 0
12791 1
12792 0
12793 1
12794 0
12795 1
12796 0
12797 1
12798 0
12799 1
12800 0
12801 1
12802 0
12803 1
12804 0
12805 1
12806 0
12807 1
12808 0
12809 1
12810 0
12811 1
12812 0
12813 1
12814 0
12815 1
12816 0
12817 1
12818 0
12819 1
12820 0
12821 1
12822 0
12823 1
12824 0
12825 1
12826 0
12827 1
12828 0
12829 1
12830 0
12831 1
12832 0
12833 1
12834 0
12835 1
12836 0
12837 1
12838 0
12839 1
12840 0
12841 1
12842 0
12843 1
12844 0
12845 1
12846 0
12847 1
12848 0
12849 1
12850 0
12851 1
12852 0
12853 1
12854 0
12855 1
12856 0
12857 1
12858 0
12859 1
12860 0
12861 1
12862 0
12863 1
12864 0
12865 1
12866 0
12867 1
12868 0
12869 1
12870 0
12871 1
12872 0
12873 1
12874 0
12875 1
12876 0
12877 1
12878 0
12879 1
12880 0
12881 1
12882 0
12883 1
12884 0
12885 1
12886 0
12887 1
12888 0
12889 1
12890 0
12891 1
12892 0
12893 1
12894 0
12895 1
12896 0
12897 1
12898 0
12899 1
12900 0
12901 1
12902 0
12903 1
12904 0
12905 1
12906 0
12907 1
12908 0
12909 1
12910 0
12911 1
12912 0
12913 1
12914 0
12915 1
12916 0
12917 1
12918 0
12919 1
12920 0
12921 1
12922 0
12923 1
12924 0
12925 1
12926 0
12927 1
12928 0
12929 1
12930 0
12931 1
12932 0
12933 1
12934 0
12935 1
12936 0
12937 1
12938 0
12939 1
12940 0
12941 1
12942 0
12943 1
12944 0
12945 1
12946 0
12947 1
12948 0
12949 1
12950 0
12951 1
12952 0
12953 1
12954 0
12955 1
12956 0
12957 1
12958 0
12959 1
12960 0
12961 1
12962 0
12963 1
12964 0
12965 1
12966 0
12967 1
12968 0
12969 1
12970 0
12971 1
12972 0
12973 1
12974 0
12975 1
12976 0
12977 1
