EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
2096,2012-03-13,18:06:31,L,1,0,242,242,242,242
2097,2012-03-13,18:06:41,L,4,1336,242,242,242,242
2098,2012-03-13,18:06:41,L,1,0,242,242,242,242
2099,2012-03-13,18:07:38,L,5,898,241,242,472,241
2100,2012-03-13,18:07:38,L,1,0,241,241,242,241
2101,2012-03-13,18:07:49,L,5,1603,240,239,240,239
2102,2012-03-13,18:07:50,L,1,0,242,242,242,242
2103,2012-03-13,18:08:38,E,14,1732,242,241,241,241
2104,2012-03-13,18:08:38,L,1,0,242,242,242,242
2105,2012-03-13,18:09:12,E,40,866,241,240,241,240
2106,2012-03-13,18:09:12,L,1,0,242,242,242,242
2107,2012-03-13,18:11:12,E,5,546,242,242,472,242
2108,2012-03-13,18:11:13,L,1,0,242,242,242,242
2109,2012-03-13,18:11:26,E,5,749,241,241,472,241
2110,2012-03-13,18:11:26,L,1,0,238,238,239,238
2111,2012-03-13,18:11:46,L,5,851,243,243,472,243
2112,2012-03-13,18:11:46,L,1,0,241,241,242,241
2113,2012-03-13,18:12:03,E,7,69,472,240,242,240
2114,2012-03-13,18:12:04,L,1,0,242,242,242,242
2115,2012-03-13,18:12:34,L,5,2541,241,241,472,241
2116,2012-03-13,18:12:34,L,1,0,242,242,242,242
2117,2012-03-13,18:13:08,E,5,206,472,241,241,241
2118,2012-03-13,18:13:08,L,1,0,242,242,242,242
2119,2012-03-13,18:16:17,L,4,1451,240,241,472,240
2120,2012-03-13,18:16:18,L,1,0,242,242,242,242
2121,2012-03-13,18:17:26,E,15,565,241,238,239,238
2122,2012-03-13,18:17:27,L,1,0,238,238,239,238
2123,2012-03-13,18:18:09,L,5,1957,241,241,472,241
2124,2012-03-13,18:18:09,L,1,0,242,242,242,242
2125,2012-03-13,18:19:56,L,5,4640,242,242,242,242
2126,2012-03-13,18:19:56,L,1,0,241,242,242,241
2127,2012-03-13,18:20:21,L,5,1883,242,242,243,242
2128,2012-03-13,18:20:21,L,1,0,238,238,239,238
2129,2012-03-13,18:20:40,L,5,2069,244,243,244,243
2130,2012-03-13,18:20:40,L,1,0,241,241,241,241
2131,2012-03-13,18:21:11,L,4,654,240,240,241,240
2132,2012-03-13,18:21:11,L,1,0,238,238,239,238
2133,2012-03-13,18:22:23,L,6,2744,239,239,239,239
2134,2012-03-13,18:22:24,L,1,0,238,238,239,238
2135,2012-03-13,18:22:55,L,4,1379,242,242,243,242
2136,2012-03-13,18:22:55,L,1,0,241,241,242,241
2137,2012-03-13,18:23:19,E,12,1829,240,240,240,240
2138,2012-03-13,18:23:19,L,1,0,242,241,242,241
2139,2012-03-13,18:25:09,L,4,2461,243,243,243,243
2140,2012-03-13,18:25:09,L,1,0,238,238,239,238
2141,2012-03-13,18:26:05,L,4,1390,239,240,472,239
2142,2012-03-13,18:26:05,L,1,0,238,238,239,238
2143,2012-03-13,18:28:14,L,4,865,243,242,243,242
2144,2012-03-13,18:28:14,L,1,0,241,241,242,241
2145,2012-03-13,18:28:17,L,5,1252,241,241,472,241
2146,2012-03-13,18:28:17,L,1,0,242,242,242,242
2147,2012-03-13,18:28:22,L,6,4065,241,241,242,241
2148,2012-03-13,18:28:22,L,1,0,242,241,242,241
2149,2012-03-13,18:28:52,L,4,952,241,241,241,241
2150,2012-03-13,18:28:52,L,1,0,242,242,242,242
2151,2012-03-13,18:31:13,L,5,1216,241,241,243,241
2152,2012-03-13,18:31:13,L,1,0,242,242,242,242
2153,2012-03-13,18:32:28,L,5,1127,240,240,472,240
2154,2012-03-13,18:32:28,L,1,0,241,241,242,241
2155,2012-03-13,18:35:36,L,4,1976,241,241,241,241
2156,2012-03-13,18:35:36,L,1,0,242,242,242,242
2157,2012-03-13,18:35:47,E,4,420,242,240,472,240
2158,2012-03-13,18:35:47,L,1,0,238,238,239,238
2159,2012-03-13,18:36:09,L,4,833,242,242,243,242
2160,2012-03-13,18:36:09,L,1,0,242,242,242,242
2161,2012-03-13,18:36:46,L,4,724,242,242,242,242
2162,2012-03-13,18:36:47,L,1,0,241,241,242,241
2163,2012-03-13,18:38:27,L,5,939,240,239,472,239
2164,2012-03-13,18:38:27,L,1,0,238,238,238,238
2165,2012-03-13,18:38:58,L,4,1022,242,242,242,242
2166,2012-03-13,18:38:58,L,1,0,238,238,238,238
2167,2012-03-13,18:41:15,E,21,640,243,241,243,241
2168,2012-03-13,18:41:15,L,1,0,241,241,242,241
2169,2012-03-13,18:41:43,L,5,2867,242,242,242,242
2170,2012-03-13,18:41:44,L,1,0,238,238,238,238
2171,2012-03-13,18:42:54,L,4,1123,243,472,472,243
2172,2012-03-13,18:42:54,L,1,0,242,242,242,242
2173,2012-03-13,18:44:07,L,5,1444,240,240,472,240
2174,2012-03-13,18:44:07,L,1,0,242,242,242,242
2175,2012-03-13,18:44:33,L,5,1296,243,243,243,243
2176,2012-03-13,18:44:33,L,1,0,242,242,242,242
2177,2012-03-13,18:44:46,L,5,1448,242,472,472,242
2178,2012-03-13,18:44:46,L,1,0,242,242,242,242
2179,2012-03-13,18:45:38,E,5,416,240,238,472,238
2180,2012-03-13,18:45:38,L,1,0,242,242,242,242
2181,2012-03-13,18:45:47,E,4,339,240,239,472,239
2182,2012-03-13,18:45:47,L,1,0,242,242,243,242
2183,2012-03-13,18:46:12,L,4,3394,240,241,241,240
