EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10773,2013-03-09  20:50:54,E,16,273,470,237,239,237,227,602.3,1.0,22.76952,0.4236397,159.546,11.609,7.007,27.403,7.0,0.4869469,1.224745,2.0,10.0,0.0,10.0,53.747355704728676
10774,2013-03-09  20:50:54,C,0,6598456,242,242,243,242,0,602.3,,,,,,,,,,,,,,,
10775,2013-03-09  20:51:18,L,8,7501,238,238,239,238,24,602.3,0.0,1.136053,147.9303,1793.648,3351.36,1578.842,22.655,30.0,0.21991149999999998,2.061553,1.044466,32.0,66.0,0.2456438217090502,0.00767965183677189
10776,2013-03-09  20:51:18,C,0,6600672,242,242,243,242,0,602.3,,,,,,,,,,,,,,,
10777,2013-03-09  20:51:28,D,446,44375,248,237,239,237,10,602.3,0.0,0.01221226,0.003918141,389.152,132.522,31865.69,33822.67,37.0,1.193805,2.6251290000000003,1.2602520000000001,46.0,34.0,0.6495097282950331,3.1168496020593537
10778,2013-03-09  20:51:28,C,0,6510543,242,242,242,242,0,602.3,,,,,,,,,,,,,,,
10779,2013-03-09  20:55:27,E,31,2502,242,240,244,240,239,602.3,1.0,33.495979999999996,0.6963285,1092.036,421.652,32.602,605.536,25.0,0.1570796,0.6831301,1.309307,30.0,7.0,8.21412453394414,48.103703671364094
10780,2013-03-09  20:55:27,C,0,6609548,242,242,243,242,0,602.3,,,,,,,,,,,,,,,
10781,2013-03-09  21:00:41,E,15,607,241,238,238,238,314,602.8,1.0,8.822285,1.606085,266.98,179.647,30.262,111.854,14.0,0.37699109999999997,1.48324,1.06066,15.0,8.0,1.3408062754510397,5.493038616107113
10782,2013-03-09  21:00:41,C,0,6600607,242,242,243,242,0,602.8,,,,,,,,,,,,,,,
10783,2013-03-09  21:03:39,L,7,4158,239,239,239,239,178,602.3,0.0,0.9344582,1000.0,862.161,1784.793,922.632,0.0,38.0,0.1884956,2.173707,1.1712360000000002,40.0,78.0,0.276317758627932,0.0
10784,2013-03-09  21:03:39,C,0,6609281,242,242,243,242,0,602.3,,,,,,,,,,,,,,,
10785,2013-03-09  21:04:06,D,327,38121,240,228,248,228,27,604.7,0.0,0.01153074,0.003989471,384.852,136.967,33376.18,34332.12,41.0,0.7696901999999999,2.165384,1.4142139999999999,45.0,37.0,0.7943117710299881,2.8902925088193583
10786,2013-03-09  21:04:06,C,0,6289882,13,13,13,13,0,604.7,,,,,,,,,,,,,,,
10787,2013-03-09  21:07:29,E,21,725,242,240,242,240,203,605.4,1.0,1000.0,0.391083,503.219,126.917,0.0,324.527,18.0,0.3612832,0.8897565000000001,1.658312,24.0,4.0,11.182690994671013,1000.0
10788,2013-03-09  21:07:29,C,0,6615963,242,242,243,242,0,605.4,,,,,,,,,,,,,,,
10789,2013-03-09  21:09:08,E,15,314,470,237,239,237,99,603.0,1.0,17.00796,0.3565009,171.032,35.777,10.056,100.356,6.0,0.1884956,0.7071068,1.4142139999999999,8.0,1.0,16.000004525483277,47.70803524857606
10790,2013-03-09  21:09:08,C,0,6608296,242,243,243,242,0,603.0,,,,,,,,,,,,,,,
10791,2013-03-09  21:12:49,E,23,835,242,238,239,238,221,603.6,1.0,1000.0,0.6827187,313.586,112.553,0.0,164.86,14.0,0.5497787,1.137593,1.870829,17.0,4.0,6.989339113373587,1000.0
10792,2013-03-09  21:12:49,C,0,6614755,242,242,243,242,0,603.6,,,,,,,,,,,,,,,
10793,2013-03-09  21:19:02,E,9,1703,243,241,471,241,373,596.6,0.0,0.7272833000000001,32.361959999999996,299.144,688.08,411.317,21.262,18.0,0.03141593,1.204159,1.0350979999999999,20.0,42.0,0.4093344894850343,0.022473401776686983
10794,2013-03-09  21:19:02,C,0,6603454,242,242,243,242,0,596.6,,,,,,,,,,,,,,,
10795,2013-03-09  21:22:27,E,8,742,243,242,243,242,205,594.8,0.0,21.99221,90.50043000000001,304.966,318.833,13.867,3.523,18.0,0.3141593,1.6701720000000002,1.327368,19.0,21.0,0.7190588753733148,0.2430067211034287
10796,2013-03-09  21:22:27,C,0,6604495,242,242,242,242,0,594.8,,,,,,,,,,,,,,,
10797,2013-03-09  21:29:27,L,8,5307,241,241,241,241,420,586.3,0.0,1.2224620000000002,181.5541,1289.6660000000002,2326.979,1054.974,12.817,31.0,0.1570796,2.1505810000000003,0.8838834999999999,32.0,64.0,0.2054987698673056,0.006733322474295921
10798,2013-03-09  21:29:27,C,0,6582842,242,242,242,242,0,586.3,,,,,,,,,,,,,,,
10799,2013-03-09  21:30:06,L,6,2300,238,240,469,238,39,584.1,0.0,0.6465989999999999,105.745,425.466,1072.995,658.006,10.147,28.0,0.09424778,1.6752470000000002,1.142609,31.0,72.0,0.2936621601338655,0.006114697384426352
10800,2013-03-09  21:30:07,C,0,6586247,242,242,243,242,1,584.1,,,,,,,,,,,,,,,
10801,2013-03-09  21:30:11,E,51,2239,242,241,241,241,4,583.8,1.0,71.09980999999999,0.3144446,982.315,222.706,13.816,708.252,31.0,0.4869469,1.4795909999999999,1.603567,37.0,7.0,5.728608108592172,226.11238096750807
10802,2013-03-09  21:30:11,C,0,6595620,242,242,243,242,0,583.8,,,,,,,,,,,,,,,
10803,2013-03-09  21:31:16,E,25,4111,239,238,238,238,65,581.1,1.0,196.4269,0.8340673000000001,1924.394,828.399,9.797,993.204,44.0,0.1570796,0.7071068,1.7320509999999998,48.0,15.0,7.838367839200527,235.5048091438006
10804,2013-03-09  21:31:16,C,0,6595283,242,242,243,242,0,581.1,,,,,,,,,,,,,,,
