EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
1992,L,2,1,472,240,472,240,1,0.0,498.2,2012-03-13 17:39:13
1993,C,0,4362972,242,242,242,242,1,0.0,498.2,2012-03-13 17:39:14
1994,E,6,43,472,240,472,240,7,0.0,498.2,2012-03-13 17:39:21
1995,C,0,4364527,240,241,242,240,1,0.0,498.2,2012-03-13 17:39:22
1996,E,4,33,472,239,472,239,1,0.0,498.2,2012-03-13 17:39:23
1997,C,0,4350130,242,242,242,242,0,0.0,498.2,2012-03-13 17:39:23
1998,E,6,39,472,240,472,240,4,0.0,498.2,2012-03-13 17:39:27
1999,C,0,4355808,242,242,242,242,1,0.0,498.2,2012-03-13 17:39:28
2000,E,4,17,472,240,472,240,4,0.0,498.2,2012-03-13 17:39:32
2001,C,0,4349856,242,242,242,242,0,0.0,498.2,2012-03-13 17:39:32
2002,L,2,12,472,242,472,242,1,0.0,498.2,2012-03-13 17:39:33
2003,C,0,4356910,242,242,242,242,1,0.0,498.2,2012-03-13 17:39:34
2004,E,4,28,472,243,472,243,4,0.0,498.2,2012-03-13 17:39:38
2005,C,0,4356354,242,242,242,242,0,0.0,498.2,2012-03-13 17:39:38
2006,L,3,15,472,240,472,240,10,0.0,498.2,2012-03-13 17:39:48
2007,C,0,4354153,242,242,243,242,0,0.0,498.2,2012-03-13 17:39:48
2008,L,3,11,472,239,472,239,5,0.0,498.2,2012-03-13 17:39:53
2009,C,0,4356983,242,242,242,242,1,0.0,498.2,2012-03-13 17:39:54
2010,L,5,1065,241,240,472,240,12,0.0,498.2,2012-03-13 17:40:06
2011,C,0,4364931,242,242,242,242,0,0.0,498.2,2012-03-13 17:40:06
2012,L,3,23,472,241,472,241,2,0.0,498.2,2012-03-13 17:40:08
2013,C,0,4361725,240,242,242,240,0,0.0,498.2,2012-03-13 17:40:08
2014,L,5,1633,244,244,472,244,2,0.0,498.2,2012-03-13 17:40:10
2015,C,0,4359568,242,242,242,242,0,0.0,498.2,2012-03-13 17:40:10
2016,L,2,9,472,239,472,239,1,0.0,498.2,2012-03-13 17:40:11
2017,C,0,4361202,242,242,242,242,1,0.0,498.2,2012-03-13 17:40:12
2018,L,3,9,472,241,472,241,1,0.0,498.2,2012-03-13 17:40:13
2019,C,0,4363849,242,242,242,242,0,0.0,498.2,2012-03-13 17:40:13
2020,L,2,13,472,241,472,241,1,0.0,498.2,2012-03-13 17:40:14
2021,C,0,4371717,242,242,242,242,0,0.0,498.2,2012-03-13 17:40:14
2022,L,3,12,472,239,472,239,9,0.0,498.2,2012-03-13 17:40:23
2023,C,0,4363123,242,242,242,242,0,0.0,498.2,2012-03-13 17:40:23
2024,L,2,8,472,241,472,241,3,0.0,498.2,2012-03-13 17:40:26
2025,C,0,4365229,242,242,242,242,1,0.0,498.2,2012-03-13 17:40:27
2026,L,2,11,472,240,472,240,2,0.0,498.3,2012-03-13 17:40:29
2027,C,0,4359284,242,242,243,242,1,0.0,498.3,2012-03-13 17:40:30
2028,E,8,50,472,242,472,242,2,0.0,498.3,2012-03-13 17:40:32
2029,C,0,4357515,242,242,243,242,1,0.0,498.3,2012-03-13 17:40:33
2030,E,4,25,472,242,472,242,5,0.0,498.3,2012-03-13 17:40:38
2031,C,0,4357157,242,242,242,242,0,0.0,498.3,2012-03-13 17:40:38
2032,E,4,24,472,239,472,239,3,0.0,498.3,2012-03-13 17:40:41
2033,C,0,4361713,242,242,242,242,0,0.0,498.3,2012-03-13 17:40:41
2034,L,3,13,472,242,472,242,3,0.0,498.3,2012-03-13 17:40:44
2035,C,0,4359512,242,242,242,242,1,0.0,498.3,2012-03-13 17:40:45
2036,E,4,19,472,242,472,242,1,0.0,498.3,2012-03-13 17:40:46
2037,C,0,4359677,242,242,243,242,1,0.0,498.3,2012-03-13 17:40:47
