EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10793,2013-03-09  21:19:02,9,1703,243,241,471,241,373,596.6,0.0,0.7272833000000001,32.36196,299.144,688.08,411.31699999999995,21.261999999999997,18.0,0.03141593,1.204159,1.035098,20.0,42.0,0.4093344894850343,0.022473401776686986
10795,2013-03-09  21:22:27,8,742,243,242,243,242,205,594.8,0.0,21.99221,90.50043,304.966,318.83299999999997,13.867,3.523,18.0,0.3141593,1.6701720000000002,1.327368,19.0,21.0,0.7190588753733148,0.2430067211034287
10797,2013-03-09  21:29:27,8,5307,241,241,241,241,420,586.3,0.0,1.2224620000000002,181.5541,1289.6660000000004,2326.979,1054.974,12.817,31.0,0.1570796,2.1505810000000003,0.8838834999999999,32.0,64.0,0.2054987698673056,0.006733322474295921
10801,2013-03-09  21:30:11,51,2239,242,241,241,241,4,583.8,1.0,71.09980999999998,0.3144446,982.315,222.706,13.815999999999999,708.252,31.0,0.4869469,1.479591,1.603567,37.0,7.0,5.728608108592173,226.11238096750807
10803,2013-03-09  21:31:16,25,4111,239,238,238,238,65,581.1,1.0,196.4269,0.8340673000000001,1924.394,828.3989999999999,9.797,993.204,44.0,0.1570796,0.7071068,1.7320509999999998,48.0,15.0,7.838367839200528,235.50480914380057
10805,2013-03-09  21:31:57,8,502,470,240,240,240,41,584.1,1.0,22.16701,20.8275,217.813,217.21,9.826,10.429,18.0,0.2042035,0.591608,1.5,20.0,20.0,2.5354626712282458,1.0643142790816829
10807,2013-03-09  21:33:14,7,1944,238,238,238,238,77,586.6,0.0,2.268848,54.91404,730.0039999999999,1028.485,321.751,18.729,28.0,0.1727876,1.847645,0.8505316999999999,29.0,47.0,0.2840351665602152,0.041316351354819966
10809,2013-03-09  21:35:25,7,2862,242,242,242,242,131,581.5,0.0,1.919129,197.891,972.63,1456.6760000000004,506.80800000000005,7.361000000000001,31.0,0.2513274,1.99241,1.17727,33.0,57.0,0.34208690401124897,0.009697907827359707
10813,2013-03-09  21:42:04,7,2437,241,241,470,241,296,588.7,0.0,0.7401788,40.04687,488.33,1109.779,659.7460000000001,27.712,30.0,0.1099557,1.64611,0.9289853,31.0,73.0,0.239656284725392,0.01848281035866416
10815,2013-03-09  21:42:39,11,263,469,239,240,239,35,589.0,1.0,4.8473440000000005,1.368186,140.35,81.927,28.954,59.88,7.0,0.01570796,0.7559289,1.825742,7.0,3.0,5.635536181599443,3.542897487912764
10817,2013-03-09  21:46:03,7,1290,239,239,240,239,204,587.0,0.0,1.7992009999999998,21.19793,438.764,653.85,243.86599999999999,30.845,29.0,0.2042035,2.304886,1.087968,32.0,49.0,0.3082624104991372,0.08487628819199898
10819,2013-03-09  21:47:44,28,1969,238,237,238,237,101,586.0,1.0,33.91045,0.6619343000000001,824.0239999999999,306.978,24.3,463.759,30.0,0.2984513,0.904534,2.185813,33.0,9.0,8.860526709517462,51.22933116398443
10821,2013-03-09  21:48:20,20,910,239,238,241,238,36,585.9,1.0,124.1987,1.389911,511.202,289.538,4.1160000000000005,208.31400000000002,29.0,0.439823,0.75,2.09165,32.0,16.0,5.577733333333334,89.3573058593577
10823,2013-03-09  21:52:19,18,473,240,237,237,237,239,586.7,1.0,13.30343,0.4631747000000001,334.967,113.859,25.179000000000002,245.82299999999998,19.0,0.5340708000000001,1.214986,1.963961,21.0,7.0,4.8493422969482785,28.722265682553118
10825,2013-03-09  21:52:23,10,155,240,226,470,226,4,586.6,1.0,9.575385,1000.0,156.615,16.33,16.355999999999998,0.0,5.0,0.8639379999999999,2.209605,1.914854,17.0,3.0,4.9107597662629,0.0
