,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
290,n,10,20-40,182,630459300.0,1127831800.0,1965811800.0,20529086239.0,1226856600.0,4566319400.0,8095686300.0
291,n,10,20-40,183,1218850000.0,2068548000.0,3404824200.0,24094202165.0,2018444300.0,6010905300.0,10276017500.0
292,n,10,20-40,184,1070038000.0,1842511000.0,3075362800.0,22741128075.0,1849855300.0,5610268300.0,9610098300.0
293,n,10,20-40,185,804115100.0,1359260400.0,2241068900.0,20424474989.0,1325356400.0,4489003200.0,8070180100.0
294,n,10,20-40,186,862760800.0,1475453400.0,2451239600.0,21159835876.0,1465190100.0,4740753700.0,8476920700.0
295,n,10,20-40,187,699002600.0,1224348400.0,2089202400.0,20311057230.0,1279284000.0,4526319700.0,8076232500.0
296,n,10,20-40,188,1054702000.0,1815260000.0,3035972600.0,23005376326.0,1826776200.0,5725818600.0,9752896200.0
297,n,10,20-40,189,758130300.0,1336548700.0,2290082300.0,21243668996.0,1409845800.0,4844739500.0,8536480100.0
298,n,10,20-40,190,364775900.0,666974800.0,1190283900.0,17162032063.0,756931900.0,3160013800.0,6031993500.0
299,n,10,20-40,191,1194731000.0,2021808000.0,3319362900.0,23698450729.0,1961977000.0,5882776100.0,10105270900.0
300,n,10,20-40,192,795890000.0,1353508600.0,2242203000.0,20440101944.0,1333742100.0,4473725700.0,8073692400.0
